Date,Sales,Ticker
2020-08-05,48030.56,ITC
2020-11-06,47239.89,ITC
2021-02-11,47417.06,ITC
2021-03-31,47417.06,ITC
2021-06-01,49977.17,ITC
2021-07-15,49257.45,ITC
2021-07-24,52745.96,ITC
2021-10-27,54426.39,ITC
2022-02-03,58454.83,ITC
2022-03-31,58454.83,ITC
2022-05-18,60668.09,ITC
2022-06-22,60644.54,ITC
2022-08-01,65910.29,ITC
2022-10-20,69261.13,ITC
2023-02-03,69857.49,ITC
2023-03-31,69857.49,ITC
2023-05-18,70936.85,ITC
2023-07-12,70919.03,ITC
2023-08-14,69611.86,ITC
2023-10-19,70278.34,ITC
2024-01-29,69769.06,ITC
2024-03-31,69769.06,ITC
2024-05-23,70056.87,ITC
2024-07-01,70866.22,ITC
2024-08-01,71349.74,ITC
2024-10-24,73565.63,ITC
2025-02-06,75160.56,ITC
2017-12-31,1367.37,ITI
